clean_text,clean_text_baseline,is_ambiguous
The system shall provide the ability to present a list of tasks by user or user role.,the system shall provide the ability to present a list of tasks by user or user role,0
The solution should provide the ability to create customized views of summarized information based on sort and filter controls for date or date range problem or other clinical parameters.,the solution should provide the ability to create customized views of summarized information based on sort and filter controls for date or date range problem or other clinical parameters,1
1 A covered entity may use or disclose protected health information for its own treatment payment or health care operations.,1 a covered entity may use or disclose protected health information for its own treatment payment or health care operations,1
5 The reasons why the State law should not be preempted by the federal standard requirement or implementation specification including how the State law meets one or more of the criteria at 160.203a and,5 the reasons why the state law should not be preempted by the federal standard requirement or implementation specification including how the state law meets one or more of the criteria at 160203a and,1
Entering a 'Specialty' will allow you to narrow your search parameters when writing letters to a particular physician etc.,entering a specialty will allow you to narrow your search parameters when writing letters to a particular physician etc,1
Complete the remainder of the form as necessary and click 'Save'.,complete the remainder of the form as necessary and click save,0
Enable a user to electronically record change and access a patient's active medication list as well as medication history,enable a user to electronically record change and access a patients active medication list as well as medication history,0
If a covered entity also is a health oversight agency the covered entity may use protected health information for health oversight activities as permitted by paragraph d of this section.,if a covered entity also is a health oversight agency the covered entity may use protected health information for health oversight activities as permitted by paragraph d of this section,1
1 Discontinued disclosure of protected health information to the recipient and,1 discontinued disclosure of protected health information to the recipient and,0
Electronically transmit transition of care or referral summaries as a result of a transition of care or referral selected by the patient or their authorized representative in accordance with the standard specified in 170.202a.,electronically transmit transition of care or referral summaries as a result of a transition of care or referral selected by the patient or their authorized representative in accordance with the standard specified in 170202a,0
For example all open cases will be yellow and all closed cases will be gray.,for example all open cases will be yellow and all closed cases will be gray,0
screenshot below,screenshot below,0
iii Exclusion in accordance with paragraph a2 of this section.,iii exclusion in accordance with paragraph a2 of this section,0
"The system has the ability to track lists including but not limited to,0,0,0 LACountyEHRRequirements - parsed.json810,1 EMS List,0,0,0 LACountyEHRRequirements - parsed.json811,2 Nurse List,0,0,0 LACountyEHRRequirements - parsed.json812,3 Physician List,0,0,0 LACountyEHRRequirements - parsed.json813,4 Triage List that includes all patients requiring Triage assessment,0,0,0 LACountyEHRRequirements - parsed.json814,5 Registration List,0,0,0 LACountyEHRRequirements - parsed.json815,6 Checkout List including all patients with zero tracking code and placed in checkout location,0,0,0 LACountyEHRRequirements - parsed.json816,7 Provider List,0,0,0 LACountyEHRRequirements - parsed.json817,8 Bed Tracking List,0,0,0 LACountyEHRRequirements - parsed.json818,The system has the capability to support Tracking Events including",the system has the ability to track lists including but not limited to000 lacountyehrrequirements parsedjson8101 ems list000 lacountyehrrequirements parsedjson8112 nurse list000 lacountyehrrequirements parsedjson8123 physician list000 lacountyehrrequirements parsedjson8134 triage list that includes all patients requiring triage assessment000 lacountyehrrequirements parsedjson8145 registration list000 lacountyehrrequirements parsedjson8156 checkout list including all patients with zero tracking code and placed in checkout location000 lacountyehrrequirements parsedjson8167 provider list000 lacountyehrrequirements parsedjson8178 bed tracking list000 lacountyehrrequirements parsedjson818the system has the capability to support tracking events including,0
The addition reads as follows,the addition reads as follows,0
The solution should conform to function IN.5.3 Standards-based Application Integration.,the solution should conform to function in53 standardsbased application integration,1
As required by paragraph j of this section a covered entity must document the sanctions that are applied if any.,as required by paragraph j of this section a covered entity must document the sanctions that are applied if any,1
System shall let customers register on the website as a pay as you go user in under 5 minutes.,system shall let customers register on the website as a pay as you go user in under 5 minutes,0
The standard specified in 170.207d.,the standard specified in 170207d,0
a Standard Permitted uses and disclosures.,a standard permitted uses and disclosures,0
ND The National Drug Code NDC is a universal product identifier used in the United States for drugs intended for human use.,nd the national drug code ndc is a universal product identifier used in the united states for drugs intended for human use,0
The user shall be able to download appointments and contact information for clients,the user shall be able to download appointments and contact information for clients,0
ii Provides the individual with the opportunity to object to the disclosure and the individual does not express an objection or,ii provides the individual with the opportunity to object to the disclosure and the individual does not express an objection or,0
The system shall only be accessed by authorized Corporate Community Grants CCR employees.,the system shall only be accessed by authorized corporate community grants ccr employees,0
Enable a user to create a clinical summary for a patient in human readable format and formatted according to the standards adopted at 170.205a3.,enable a user to create a clinical summary for a patient in human readable format and formatted according to the standards adopted at 170205a3,0
5 A physician assistant practicing in a Federally qualified health center FQHC led by a physician assistant or a rural health clinic RHC that is so led by a physician assistant.,5 a physician assistant practicing in a federally qualified health center fqhc led by a physician assistant or a rural health clinic rhc that is so led by a physician assistant,0
Protection mechanisms are in place for sensitive data that is sent over the network.,protection mechanisms are in place for sensitive data that is sent over the network,0
B The individual agrees in advance to the fees imposed if any by the covered entity for such summary or explanation.,b the individual agrees in advance to the fees imposed if any by the covered entity for such summary or explanation,0
The Support for Communications between Provider and Patient possibly and possibly the Patient Representative capability should provide non-repudiation requirements IN 1.5 that guarantees that the sources and receivers of data cannot deny that they entered or sent or received the data.,the support for communications between provider and patient possibly and possibly the patient representative capability should provide nonrepudiation requirements in 15 that guarantees that the sources and receivers of data cannot deny that they entered or sent or received the data,1
3.2.25 UC25 View Physician Satisfaction Survey Results Use Case.,3225 uc25 view physician satisfaction survey results use case,0
1 Retail pharmacy drugs.,1 retail pharmacy drugs,0
v Encryption when exchanging electronic health information.,v encryption when exchanging electronic health information,0
a Standard Uses and disclosures required by law.,a standard uses and disclosures required by law,0
Manage Clinical Documentation Notes,manage clinical documentation notes,0
1 Specific requirements for health plans.,1 specific requirements for health plans,0
2 Require any agent or subcontractor to comply with all applicable requirements of this part.,2 require any agent or subcontractor to comply with all applicable requirements of this part,0
States disburse payments consistent with the Federal fiscal year on a rolling basis following verification of eligibility for the payment year.,states disburse payments consistent with the federal fiscal year on a rolling basis following verification of eligibility for the payment year,0
This page contains a form for entering information on any immunizations the patient has received.,this page contains a form for entering information on any immunizations the patient has received,0
4 If the National Coordinator determines that a revised application still contains deficiencies the applicant will be issued a denial notice indicating that the applicant will no longer be considered for authorization under the temporary certification program.,4 if the national coordinator determines that a revised application still contains deficiencies the applicant will be issued a denial notice indicating that the applicant will no longer be considered for authorization under the temporary certification program,1
At this point the LHCP can view a prescription list for that patient sorted by start date the later date is ranked earlier.,at this point the lhcp can view a prescription list for that patient sorted by start date the later date is ranked earlier,1
3 has the words i.e. the subject or the message body has the specified substring.,3 has the words ie the subject or the message body has the specified substring,0
Automatically calculate and electronically display body mass index based on a patient's height and weight.,automatically calculate and electronically display body mass index based on a patients height and weight,0
c CMS assesses the States overall compliance with the approved advance planning document and provide technical assistance and information sharing from other State projects.,c cms assesses the states overall compliance with the approved advance planning document and provide technical assistance and information sharing from other state projects,0
The system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order.,the system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order,1
C A parent guardian or other person acting in loco parentis assents to an agreement of confidentiality between a covered health care provider and the minor with respect to such health care service.,c a parent guardian or other person acting in loco parentis assents to an agreement of confidentiality between a covered health care provider and the minor with respect to such health care service,1
Click the 'Add a Pharmacy' button to enter the contact information for your clinic's pharmacy.,click the add a pharmacy button to enter the contact information for your clinics pharmacy,0
Support for Notification Response,support for notification response,0
b An ONC-ACB must provide the option for a Complete EHR to be certified solely to the applicable certification criteria adopted by the Secretary at subpart C of this part.,b an oncacb must provide the option for a complete ehr to be certified solely to the applicable certification criteria adopted by the secretary at subpart c of this part,0
i To provide clinical decision support,i to provide clinical decision support,0
i Create a message digest in accordance with the standard specified in 170.210c.,i create a message digest in accordance with the standard specified in 170210c,0
4 Quality management system.,4 quality management system,0
Now that the clinic is preparing to go electronic the HIPAA Security Rule will apply.,now that the clinic is preparing to go electronic the hipaa security rule will apply,0
495.322 FFP for reasonable administrative expenses.,495322 ffp for reasonable administrative expenses,0
The Support for Context-Sensitive Care Plans Guidelines Protocols capability should conform to DC 2.2.1.1 Support for Standard Care Plans Guidelines Protocols.,the support for contextsensitive care plans guidelines protocols capability should conform to dc 2211 support for standard care plans guidelines protocols,1
v Ambulatory setting only.,v ambulatory setting only,0
ii If the National Coordinator determines that no violation occurred or that the violation has been sufficiently corrected the National Coordinator will issue a memo to the ONC-AA confirming this determination.,ii if the national coordinator determines that no violation occurred or that the violation has been sufficiently corrected the national coordinator will issue a memo to the oncaa confirming this determination,1
The product shall be updated on a regular basis.,the product shall be updated on a regular basis,1
c Implementation specifications Treatment payment or health care operations.,c implementation specifications treatment payment or health care operations,0
Allergies.,allergies,0
All data presented in publications possibly and possibly presentations shall be presented in aggregate form only in a manner in which an individual cannot be identified in addition hospital names will not be disclosed.,all data presented in publications possibly and possibly presentations shall be presented in aggregate form only in a manner in which an individual cannot be identified in addition hospital names will not be disclosed,1
i Accepted amendment.,i accepted amendment,0
Next Extract the downloaded archive,next extract the downloaded archive,0
The solution should print labels for multi-dose controlled drugs.,the solution should print labels for multidose controlled drugs,1
Responsible parties,responsible parties,0
e Not assign a deactivated NPI to any other health care provider.,e not assign a deactivated npi to any other health care provider,0
The system shall provide the ability to export extract pre-defined sets of data out of the system.,the system shall provide the ability to export extract predefined sets of data out of the system,0
8 Clinical decision support.,8 clinical decision support,0
Then this person's electronic records are accessible via the iTrust Medical Records system.,then this persons electronic records are accessible via the itrust medical records system,0
B A promotional gift of nominal value provided by the covered entity.,b a promotional gift of nominal value provided by the covered entity,0
The system has the capability that allows clinicians to identify and record new patient problems as well as the current status or existing problems.,the system has the capability that allows clinicians to identify and record new patient problems as well as the current status or existing problems,0
iv To exchange electronic health information with and integrate such information from other sources.,iv to exchange electronic health information with and integrate such information from other sources,0
iii If the National Coordinator determines that the ONC-ACB failed to demonstrate that no violation occurred or to correct the areas of non-compliance identified under paragraph b1 of this section within 30 days of receipt of the noncompliance notification then the National Coordinator may propose to revoke the ONC-ACB's status.,iii if the national coordinator determines that the oncacb failed to demonstrate that no violation occurred or to correct the areas of noncompliance identified under paragraph b1 of this section within 30 days of receipt of the noncompliance notification then the national coordinator may propose to revoke the oncacbs status,1
3.2.21.4 Alternate Flows.,32214 alternate flows,0
The system shall be easy to use by callers and supervisors.,the system shall be easy to use by callers and supervisors,1
The administrator selects a file containing LOINC information and chooses to upload it.,the administrator selects a file containing loinc information and chooses to upload it,0
A complete cross reference of menu items for both the Radio Button and the Tree View or Sliding Menu navigation schemes can be found here.,a complete cross reference of menu items for both the radio button and the tree view or sliding menu navigation schemes can be found here,1
System shall allow users to update their billing and contact information via the My Account section of the website.,system shall allow users to update their billing and contact information via the my account section of the website,0
solution should be able to generate a backup copy of the application data security credentials and log or audit files.,solution should be able to generate a backup copy of the application data security credentials and log or audit files,1
ii For each hospital with at least 1 150 but no more than 23 000 acute care inpatient discharges 2 000 000 where n is the number of discharges for the hospital.,ii for each hospital with at least 1 150 but no more than 23 000 acute care inpatient discharges 2 000 000 where n is the number of discharges for the hospital,0
Subpart IGeneral Provisions for Transactions,subpart igeneral provisions for transactions,0
3 Benefits associated with the benefit plan.,3 benefits associated with the benefit plan,0
A Medicaid provider must annually meet patient volume requirements of 495.304 as these requirements are established through the States SMHP in accordance with the remainder of this section.,a medicaid provider must annually meet patient volume requirements of 495304 as these requirements are established through the states smhp in accordance with the remainder of this section,1
The ALJ may sanction a person including any party or attorney for failing to comply with an order or procedure for failing to defend an action or for other misconduct that interferes with the speedy orderly or fair conduct of the hearing.,the alj may sanction a person including any party or attorney for failing to comply with an order or procedure for failing to defend an action or for other misconduct that interferes with the speedy orderly or fair conduct of the hearing,1
Routes of Administration,routes of administration,0
A covered entity may use or disclose protected health information provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure in accordance with the applicable requirements of this section.,a covered entity may use or disclose protected health information provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure in accordance with the applicable requirements of this section,1
Identify the workflow issue propagating this behavior.,identify the workflow issue propagating this behavior,0
A Problems.,a problems,0
DUA Termination Date,dua termination date,0
162.1501 Enrollment and disenrollment in a health plan transaction.,1621501 enrollment and disenrollment in a health plan transaction,0
iv Medicaid EPs may receive payments on a non-consecutive annual basis.,iv medicaid eps may receive payments on a nonconsecutive annual basis,1
ii At a minimum the versions of the standards specified in 170.207a3 and c2.,ii at a minimum the versions of the standards specified in 170207a3 and c2,1
The solution should implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,the solution should implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed,1
Also shown is a summary of its contents.,also shown is a summary of its contents,0
The system shall allow a real estate agent to query MLS information,the system shall allow a real estate agent to query mls information,0
5 Hardware software and licensing.,5 hardware software and licensing,0
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,the system shall allow a program administrator or nursing staff member to remove a student from a clinical lab section,0
The solution should provide the ability to search for a guideline or protocol based on appropriate criteria such as problem.,the solution should provide the ability to search for a guideline or protocol based on appropriate criteria such as problem,1
c The acquisition must be attributable to payments for reasonable administrative expenses under section 1903a3Fii of the Act.,c the acquisition must be attributable to payments for reasonable administrative expenses under section 1903a3fii of the act,0
Incorporate laboratory test results - Incorporate results.,incorporate laboratory test results incorporate results,0
The system has the capability to post a note from the web signoff.,the system has the capability to post a note from the web signoff,0
The solution should provide alphabetical listing of all controlled substances sorted by DEA classification and their usage levels.,the solution should provide alphabetical listing of all controlled substances sorted by dea classification and their usage levels,1
2 Implementation specifications Required.,2 implementation specifications required,0
1 Derivation.,1 derivation,0
The initial amount is equal to the sum of,the initial amount is equal to the sum of,0
1 Before granting certified status to a newer version of a previously certified Complete EHR an ONC-ATCB must review an attestation submitted by the developer of the Complete EHR to determine whether the newer version has adversely affected any previously certified capabilities.,1 before granting certified status to a newer version of a previously certified complete ehr an oncatcb must review an attestation submitted by the developer of the complete ehr to determine whether the newer version has adversely affected any previously certified capabilities,0
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization.,the wcs system shall use appropriate nomenclature and terminology as defined by the corporate community grants organization,1
The remaining 5 will be corrected within a week of notification of the incorrect display.,the remaining 5 will be corrected within a week of notification of the incorrect display,1
Only the most recent 20 activities are listed in the user page after login.,only the most recent 20 activities are listed in the user page after login,1
2 Funeral directors.,2 funeral directors,0
5 Implementation specification Other content requirement.,5 implementation specification other content requirement,0
A summary judgment decision constitutes a hearing on the record for the purposes of this subpart.,a summary judgment decision constitutes a hearing on the record for the purposes of this subpart,0
The product will be able to delete conference rooms.,the product will be able to delete conference rooms,0
All screens created as part of the Disputes application must comply with corporate standards for interface creation.,all screens created as part of the disputes application must comply with corporate standards for interface creation,0
The solution should provide the ability to create and use site specific care plans protocols and guidelines.,the solution should provide the ability to create and use site specific care plans protocols and guidelines,1
The realtor shall be notified of new client appointments after automatic synchronization with office system,the realtor shall be notified of new client appointments after automatic synchronization with office system,1
3.2.42.4 Alternate Flows.,32424 alternate flows,0
170.400 Basis and scope.,170400 basis and scope,0
2 Has the capacity,2 has the capacity,1
The solution should support the prescribing and ordering order communication dispensing administration monitoring formulary and inventory requirements of different types of inmate care facilities including outpatient dental clinics.,the solution should support the prescribing and ordering order communication dispensing administration monitoring formulary and inventory requirements of different types of inmate care facilities including outpatient dental clinics,1
c Qualifying MA organizations are required to attest within 60 days after close of the FY whether each qualifying MA-affiliated eligible hospital is a meaningful EHR user.,c qualifying ma organizations are required to attest within 60 days after close of the fy whether each qualifying maaffiliated eligible hospital is a meaningful ehr user,1
The system has the capability to support resident or attending signoff relationships and attestation.,the system has the capability to support resident or attending signoff relationships and attestation,0
The solution should support the Eligibility for a Health Plan X12N 270 or 271.,the solution should support the eligibility for a health plan x12n 270 or 271,1
An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visit older patients who need a flu shot or any patient who is overdue for an immunization .,an hcp chooses office visit reminders and then to identify chronic patients who need an office visit older patients who need a flu shot or any patient who is overdue for an immunization,0
All transmissions and data-links sending PHI or PI data between the application or system and the Database Management System DBMS should be encrypted using FIPS 140-2 validated software refer to Attachment 8 - EMR Technical Evaluation Criteria - Worksheet as appropriate,all transmissions and datalinks sending phi or pi data between the application or system and the database management system dbms should be encrypted using fips 1402 validated software refer to attachment 8 emr technical evaluation criteria worksheet as appropriate,1
The solution should isolate security functions from nonsecurity functions.,the solution should isolate security functions from nonsecurity functions,1
v Uses or disclosures that are required by law as described by 164.512a and,v uses or disclosures that are required by law as described by 164512a and,0
Subpart AGeneral Provisions,subpart ageneral provisions,0
The solution should provide the ability to retrieve both the information and business context data within which that information was obtained.,the solution should provide the ability to retrieve both the information and business context data within which that information was obtained,1
This subpart applies to actions by the Secretary covered entities and others with respect to ascertaining the compliance by covered entities with and the enforcement of the applicable provisions of this part 160 and parts 162 and 164 of this subchapter.,this subpart applies to actions by the secretary covered entities and others with respect to ascertaining the compliance by covered entities with and the enforcement of the applicable provisions of this part 160 and parts 162 and 164 of this subchapter,0
The system shall provide the ability to display different views of the problem or diagnosis list based upon the status of the problem.,the system shall provide the ability to display different views of the problem or diagnosis list based upon the status of the problem,0
HL7 2.5.1 Implementation Guide for Immunization Messaging Release 1.0.,hl7 251 implementation guide for immunization messaging release 10,0
